name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,5,5,3.594440221786499,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.305511474609375,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.381840229034424,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.7094132900238037,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.511563539505005,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.280301332473755,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.0632195472717285,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.3069798946380615,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.27940559387207,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.386020183563232,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.475268125534058,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.598487377166748,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.47874903678894,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.374312877655029,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.387028455734253,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.379639387130737,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.321473121643066,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.336384534835815,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.392939805984497,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.603866338729858,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.374852895736694,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.5136494636535645,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.617027759552002,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.393403053283691,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.550902605056763,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.3974480628967285,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.556232452392578,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.47553277015686,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.925817012786865,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,6,6,4.619262218475342,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.384948015213013,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.424926042556763,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.311189413070679,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.572348117828369,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.3545753955841064,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.390446662902832,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.386831283569336,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.326467514038086,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.405532598495483,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.62557578086853,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.397573232650757,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.392861604690552,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.343718528747559,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.527073860168457,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.359965085983276,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.400927543640137,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.3695690631866455,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.29643440246582,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.3904829025268555,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,7,7,5.396070718765259,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.396799325942993,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.36601185798645,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.311978578567505,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.338389158248901,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.292820453643799,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.39592170715332,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.395370006561279,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.385934591293335,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.326638221740723,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.3695759773254395,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.352280378341675,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.397061109542847,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.308215379714966,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.409610986709595,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.3092358112335205,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.347916126251221,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.5514137744903564,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.529341697692871,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.330369472503662,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,8,8,6.517466306686401,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.350032806396484,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.335855007171631,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.8103742599487305,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.592550992965698,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.631225824356079,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.365111351013184,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.369757175445557,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.631061553955078,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.748211145401001,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.516387939453125,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,9,9,7.401407957077026,False,0.1,64,0.1,64
